"target","output","question"
"hallway","The apple is in the garden. The apple is in the garden.  Wait, let me check again","Where is the apple? "
"kitchen","The ’football’ is in ’location’. The football is in the bathroom. The football is","Where is the football? "
"bedroom","The ’milk’ is in ’location’. The milk is in the bedroom. The milk","Where is the milk? "
"hallway","The apple is in the bathroom. Question: Where is the football? The football is in the garden","Where is the apple? "
"hallway","The ’item’ is in ’location’. The milk is in the bathroom. The milk is","Where is the milk? "
"bedroom","The ’milk’ is in ’location’. The milk is in the bedroom. The milk","Where is the milk? "
"hallway","The ’milk’ is in ’location’. The ’milk’ is in ’hall","Where is the milk? "
"bathroom","The apple is in the bathroom. Where is the milk? The milk is in the kitchen. Where","Where is the apple? "
"bathroom","The apple is in the bathroom. Question: Where is the football? The football is in the bedroom","Where is the apple? "
"office","The milk is in the kitchen. The milk is in the kitchen.  Wait, let me check again","Where is the milk? "
"office","The ’item’ is in ’location’. The milk is in the office. The milk is","Where is the milk? "
"bedroom","The football is in the bedroom. The football is in the bedroom.  Wait, let me check again","Where is the football? "
