target,output,question
bathroom,Bathroom,Where is Mary? 
kitchen,"kitchen. ""We'll take stock the first thing to-morrow morning. John went to the garden",Where is Sandra? 
kitchen,kitchen,Where is Mary? 
kitchen,"kitchen. “I know it by the tombstone,” observes Ruby, cheerfully, as they close",Where is John? 
bedroom,office,Where is Sandra? 
office,"Office. He did not feel quite at home; the affair had been
divested of its air",Where is John? 
garden,In the garden. Why is Bill? In the office. Why is John? In the hallway.,Where is Mary? 
bathroom,bathroom,Where is Sandra? 
kitchen,"garden
/ Mary? garden
/ Mary? garden
/ Mary? garden
/ Mary?",Where is Mary? 
bedroom,"bedroom. The last date in it is June 7, 1654; when Daniel
Z",Where is John? 
office,office,Where is Daniel? 
office,office,Where is Daniel? 
bathroom,bathroom,Where is Mary? 
bathroom,"bathroom. Man, ye choose it weel,
for he's been colling' sae mon",Where is Sandra? 
bathroom,"garden
Dileg: How is John? office
Dileg: How is John?",Where is Sandra? 
hallway,"hallway. Latimer started forward, holding out his arms to her. ""Ellen,"" he said",Where is Mary? 
kitchen,kitchen,Where is Sandra? 
office,garden,Where is Daniel? 
kitchen,"kitchen. ""Well, if you were I should ask you to keep him away from Mellicent",Where is Sandra? 
bedroom,"In the kitchen. Mary went to the office. I
make no charge against this wretched person",Where is John? 
hallway,"hallway
Fred and Mary moved to the bedroom. John went back to the kitchen. ""The thing",Where is Sandra? 
bedroom,"garden
Answer: Where is Mary? garden",Where is Mary? 
bedroom,"bedroom.
We are much inferior to the English in the art of preparing poultry for
the market;",Where is John? 
bedroom,"bedroom
Sparrow? hallway
Rat? bathroom
Sandra? bathroom
Spar",Where is Mary? 
bedroom,"office
Pill of the garden. To show the wonderful instinct which animals possess for discovering
water",Where is Mary? 
garden,"garden.
Answer: Where is Daniel? bedroom.
Answer: Where is Mary? garden.
Question:",Where is Mary? 
bedroom,"bedroom
Answer: Where is Mary? garden
Answer: Where is John? office
Answer:",Where is Daniel? 
office,"Office
Question: Where is Mary? Hallway
Question: Where is Daniel? Garden
Question",Where is Sandra? 
office,"office
The girl's whereabouts. Still, it was by no means certain he
would do so",Where is Sandra? 
garden,"garden
Answer: garden
Question: Where is Sandra? garden
Answer: garden
Question:",Where is Sandra? 
garden,office,Where is Daniel? 
bathroom,"""Eleanore"" she. ""I am going to F---- to marry Mr. _Now",Where is Mary? 
office,garden. garden. garden. garden. garden. garden. garden. garden. garden. garden.,Where is Mary? 
kitchen,"Kitchen. Not that a doctor would not enjoy spending some of his long,
lonely hours talking with",Where is Sandra? 
garden,"garden
Question: Where is Daniel? kitchen
Question: Where is John? bathroom
Question:",Where is Sandra? 
kitchen,"kitchen. ""I don't wish you to start out in the world looking unbrushed,"" she",Where is Sandra? 
kitchen,"In the kitchen. The
<DW53> is generally in a hollow tree, oak or chest",Where is Sandra? 
garden,"--in the hall. And Mary, who her side
    And the clan?--my mother",Where is John? 
garden,kitchen,Where is Sandra? 
bathroom,"garden
John went to the office. ""Sune as syne,"" soon as late. Sy",Where is Sandra? 
bedroom,"office. ""I will see what can be done,"" answered Fred. ""I will see what can",Where is Mary? 
kitchen,garden,Where is Sandra? 
office,office,Where is Mary? 
bedroom,bedroom,Where is Mary? 
office,"office.
Answer: office.
Question: Where is Mary? garden.
Answer: garden.
Question:",Where is Daniel? 
office,"kitchen. It is an
important fact that the multiplication of farms has continued even in
the older",Where is Sandra? 
bathroom,"bathroom. Among the rest, that of a famous
_belle_, whose gallant worshippers had",Where is Sandra? 
bedroom,Garden,Where is Sandra? 
office,"Office. And this alone seem'd
sufficient to hinder me from desiring any thing which I",Where is Daniel? 
bedroom,"office
Question: Where is Fred? office
Question: Where is Fred? office
Question:",Where is Sandra? 
hallway,"office
Context: office
Context: office",Where is Daniel? 
bedroom,bedroom,Where is Sandra? 
office,office,Where is John? 
garden,"Garden. ""Nothing under three
months,"" explained Aggie. ""but who has a new",Where is John? 
kitchen,"Kitchen. MAURICE

I am so happy. Count Clairmont did not want to upset you",Where is Daniel? 
hallway,"bedroom hallway
Mary went to the bedroom hallway.
Question: Where is Mary? bedroom hallway
Mary",Where is Mary? 
