"target","output","question"
"kitchen","football, 22    Pipe, 22      ""   flute, 63","Where is the football? "
"garden","garden","Where is the milk? "
"bedroom","hallway in the living-room. ""It has been a strenuous week for you, hasn't","Where is the apple? "
"bedroom","hallway","Where is the apple? "
"kitchen","kitchen","Where is the apple? "
"hallway","hallway door. ""Anita"" do not go in there! He slipped on them","Where is the apple? "
"kitchen","garden","Where is the milk? "
"garden","office and, further, there are two Scriptural conditions: _consigns_. Intercept","Where is the milk? "
"bedroom","office","Where is the milk? "
"bathroom","garden Paine, this day the truest Friend among them when he was ""moved"" by","Where is the milk? "
"bathroom","office </context>  Question: Where is the football? office </context>  Question: Where","Where is the football? "
"bedroom","Mary grabbed the milk there. Mary discarded the milk. </context>  Question: Where is the milk","Where is the milk? "
"bathroom","hallway the P. of the D. of the A. of the G. of","Where is the apple? "
"kitchen","garden","Where is the football? "
"bedroom","hallway And on the seats the men </context>  Question: Where is the apple? hallway","Where is the apple? "
"garden","kitchen </context>","Where is the apple? "
"bedroom","bedroom Answer: bedroom","Where is the football? "
"bedroom","hallway","Where is the apple? "
"garden","garden","Where is the milk? "
"garden","hallway. She said, ""I'll go, an' I'll coom to the p","Where is the milk? "
"office","garden","Where is the apple? "
"bedroom","garden","Where is the milk? "
"garden","garden","Where is the milk? "
"bathroom","garden Answer: garden Question: Where is the milk? garden","Where is the milk? "
"office","garden Question: Where is the apple? garden","Where is the apple? "
"garden","office","Where is the football? "
"garden","garden","Where is the football? "
"bedroom","hallway. The grape is lifted. The pear is lifted. The peach is","Where is the apple? "
"hallway","hallway, and so on, and so on, through the centuries, to the family of St.","Where is the apple? "
"hallway","hallway L. Ewald[1] says that the ferment of {621} saliva","Where is the apple? "
"hallway","hallway and the hallway and the hallway and the hallway and the hallway and the","Where is the apple? "
"garden","garden How is the football? garden Where is the football? garden","Where is the football? "
"hallway","hallway","Where is the apple? "
"kitchen","""In order to explain to you, in the first place, that M. Rodin, and","Where is the football? "
"hallway","milk","Where is the milk? "
"kitchen","hallway Pepinks. There are also brought to the Secretariate every year all sorts","Where is the apple? "
"office","garden the garden. ""I am the man,"" said the prior. ""Now all those who","Where is the milk? "
"hallway","milk Answer: John Topic: Love Lightly""    She was a good girl, and","Where is the milk? "
"bathroom","hallway","Where is the milk? "
"bathroom","kitchen","Where is the milk? "
"bathroom","garden","Where is the football? "
"hallway","girl She is in the garden, and he is in the hall. He is a man","Where is the football? "
"garden","hallway Garden: How is the apple? hallway","Where is the apple? "
"bedroom","hallway the door when the night nurse is busy somewhere, and turn all around and let them","Where is the apple? "
"kitchen","garden","Where is the milk? "
"bedroom","Mary discarded the milk. The chief organizer of revolt in St Eustache. He found","Where is the milk? "
"hallway","garden the life to come. All things are not of the world worldly; it is a","Where is the apple? "
"garden","hallway","Where is the milk? "
"kitchen","McKee's old fondness for the girl to bring them together. But, as they","Where is the football? "
"bathroom","garden Harrison. She garden Harrison. She garden Harrison. She garden","Where is the football? "
"garden","garden","Where is the milk? "
"bedroom","garden","Where is the apple? "
"hallway","Mary South France. I am aware of no other form: and the reader may consider the","Where is the milk? "
"hallway","garden","Where is the milk? "
"office","Mary went to the bedroom. In the second boat, these artillery-men are in the act of","Where is the milk? "
"kitchen","Mary left the milk. What is the price of such and such a thing? And then she","Where is the apple? "
"bathroom","office and the garden. The garden. office and the milk? office","Where is the milk? "
"bathroom","garden","Where is the milk? "
"office","garden","Where is the football? "
"garden","garden and the two officers, taking up his cigar."" STIE He is a lucky","Where is the football? "
"kitchen","hallway","Where is the apple? "
"bathroom","bedroom","Where is the apple? "
"garden","I am in the bathroom. The world is getting better; it is getting better in Maine.","Where is the football? "
"bathroom","garden office, and help me to polish these tankards."" ""How is that, Toto","Where is the milk? "
"bathroom","garden","Where is the milk? "
"hallway","garden is the garden is the hallway is the hallway is the hallway is the","Where is the milk? "
"bedroom","garden","Where is the football? "
"garden","football","Where is the football? "
"bedroom","garden and the garden. ""I will mount instantly, and go to our Lord Prov","Where is the football? "
"bathroom","hallway","Where is the apple? "
"garden","office John put down the the tools of his art, the mechanic, the","Where is the milk? "
"office","bedroom </context>","Where is the milk? "
"office","office","Where is the football? "
"hallway","""You live in the Rue du Milieu-des-Ursins, Paris?"" But, once more","Where is the football? "
"garden","office","Where is the football? "
"office","office Henceforth, in six feet let my work commence; in five let it close","Where is the milk? "
"kitchen","office","Where is the football? "
"office","garden","Where is the milk? "
"kitchen","garden Sauer's intrigue behind his back."" It is quite true; Sauer's going_","Where is the apple? "
"kitchen","garden and hallway, and the children returned to it at each reading with renewed and breathless","Where is the football? "
"office","garden","Where is the football? "
"kitchen","hallway","Where is the apple? "
"office","garden","Where is the apple? "
"bathroom","garden","Where is the football? "
"bathroom","bathroom </context>  Question: Where is the football? bathroom","Where is the football? "
"office","garden","Where is the milk? "
"bathroom","John dropped the apple. What is the difference between a man and his tailor, when the former is","Where is the apple? "
"bedroom","garden","Where is the milk? "
"hallway","Mary discarded the apple. Raegen came up to her fearfully. he begged; ""","Where is the apple? "
"bedroom","garden","Where is the milk? "
"bedroom","kitchen","Where is the apple? "
"bathroom","garden Here is the garden Here is the hallway Here is the hallway. She is the","Where is the football? "
"bedroom","office </context>  Question: Where is the football? office","Where is the football? "
"bedroom","garden","Where is the football? "
"bedroom","In the apple. Of this last anointing, it is written: ""All Christian","Where is the apple? "
"kitchen","bathroom.--Ver. He is telling Ovid what he has put up with for his sake;","Where is the football? "
"garden","hallway office. The garden is a parlor. The kitchen is a room. The","Where is the milk? "
"office","Margit is in the office. Daniel is in the office. Margit is in the office.","Where is the milk? "
"bedroom","bedroom. The young lady who was in the buggy was greatly distressed, from which she was kind","Where is the milk? "
"kitchen","hallway","Where is the apple? "
