"target","output","question"
"bedroom","Where is the apple? Where is the apple? Where is the apple? Where is the apple","Where is the apple? "
"kitchen","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"bathroom","Where","Where is the football? "
"bedroom","Where is the apple? Where is the apple?","Where is the apple? "
"garden","Where is the apple? Where is the apple? Where is the apple? Where is the apple?","Where is the milk? "
"garden","He is a man of great talent. He is a man of great talent. He","Where is the milk? "
"garden","The answer is in the front of the house. The question is in the back of the house","Where is the football? "
"hallway","What is the apple? What is the apple? What is the apple? What is the apple?","Where is the apple? "
"hallway","Where is the apple? Where is the","Where is the milk? "
"bathroom","Where is the apple? Where is the apple? Where is the apple? Where is the apple?","Where is the milk? "
"garden","Where is the apple? Where is the apple? Where is the apple? Where is the apple?","Where is the apple? "
"hallway","Where is the apple? Where is the apple?","Where is the apple? "
"garden","""I don't know,"" said the boy. ""I don't know,"" said the girl","Where is the milk? "
"office","""I don't know,"" said the boy. ""I don't know,"" said the milkman","Where is the milk? "
"office","""I don't know."" ""Where is the milk?"" ""I don't know."" ""Where","Where is the football? "
"garden","""I don't know,"" said John. ""I don't know,"" said John. ""I","Where is the football? "
"bedroom","""I don't know,"" said the football. ""I don't know,"" said the football","Where is the football? "
"garden","""","Where is the milk? "
"garden","Where is the football? Where is the football? Where is the football? Where is the","Where is the football? "
"kitchen","Where is the apple?","Where is the apple? "
"office","Where is the apple? ""I don't know","Where is the apple? "
"bathroom","Where is the milk? Where is the steel? Where is the apple? Where is the milk","Where is the apple? "
"bedroom","Where is the","Where is the apple? "
"bedroom","""Where is the apple?"" Sandra asked. ""I dropped it,"" Daniel said. ""I dropped","Where is the apple? "
"bedroom","<context> Mary travelled to the bathroom. The milk is in the bathroom. John travelled to the","Where is the milk? "
