"target","output","question"
"bathroom","Answer: She's gone to the store. Question: What's the matter with Mary? Answer:","Where is Mary? "
"bedroom","Answer: In the kitchen. Question: Where is Sandra? Answer: In the kitchen. Question:","Where is Sandra? "
"kitchen","Answer: In the garden.--Ver. 1. 1. 2. 3.","Where is Mary? "
"bathroom","Answer: She is in the bathroom. Question: What is she doing there? Answer: She","Where is Mary? "
"kitchen","Answer: She is in the library. Question: Where is the library? Answer: It is in","Where is Sandra? "
"hallway","Answer: In the bedroom. CCLIV./--_Of the Colours of the Sun._","Where is Sandra? "
"bedroom","Answer: She's gone to the kitchen. Question: What is she doing there? Answer:","Where is Mary? "
"office","Answer: At Aston, in Warwickshire, and at Pembroke-hall, in Oxford","Where is Sandra? "
"office","Answer: In the stable. Question: Where is the stable? Answer: In the field.","Where is Mary? "
"kitchen","Answer: She is in the kitchen. Question: What is Sandra doing? Answer: She is","Where is Sandra? "
"bedroom","Answer: She is gone. Question: Where is Mary? Answer: She is gone. Question:","Where is Mary? "
"office","Answer: In the garden. Question: Where is Mary? Answer: In the garden. Question:","Where is Daniel? "
"office","Answer: In the garden, reading the paper.  Question: What is the paper? Answer: The","Where is Daniel? "
"office","Answer: He is in the office. Question: What is he doing? Answer: Nothing. Question","Where is John? "
"hallway","Answer: She is in the kitchen. Question: Where is Sandra? Answer: She is in","Where is Sandra? "
"bedroom","Answer: In the devil. Question: Where is the devil? Answer: In Daniel. Question:","Where is Daniel? "
"bathroom","Answer: She is gone. Question: Where is Sandra? Answer: She is gone. Question:","Where is Sandra? "
"garden","Answer: She's gone to the movies. Question: What time does she get back? Answer:","Where is Sandra? "
"bedroom","Answer: At the Chapel, and, as usual, at the public prayers. Question: What","Where is John? "
"hallway","Answer: She is gone. Question: Where is Mary? Answer: She is gone. Question:","Where is Mary? "
"hallway","Answer: In the hallway. Question: How do you manage to lodge your germs inside the cater","Where is John? "
"bathroom","Answer: He is gone. Question: Where is John? Answer: He is gone. Question:","Where is John? "
"office","Answer: She is in the kitchen, and, as usual, she is busy. Question:","Where is Mary? "
"hallway","Answer: In the stable. Question: Where is Thomas? Answer: In the stable. Question","Where is John? "
"garden","Answer: In the garden. Question: What is Sandra? Answer: A. A. Gordon.","Where is Sandra? "
