"target","output","question"
"kitchen","1    (the office, 1    (the office, 1","Where is the football? "
"garden","(the milk the milk. _the milk. _the milk. _the milk. _","Where is the milk? "
"bedroom","(the apple and the apple’s (art) is the apple’s (art)","Where is the apple? "
"bedroom","—what’s the apple, and it’s the apple, and it’s the apple","Where is the apple? "
"kitchen","the (over the of the apple, the (over the of the apple,","Where is the apple? "
"hallway","the apple, the apple, the apple’s appiles, the apple’s appiles,","Where is the apple? "
"kitchen","“the milk’s the milk’s, the milk’s, the milk’s, the milk’s","Where is the milk? "
"garden","(the milk] is the only way to get the milk home, the milk is the only way","Where is the milk? "
"bedroom","(the milk the milk, and the milk the milk, and the milk the milk","Where is the milk? "
"bathroom","(the milk) is the milk’s the milk’s:  the milk’s the milk’s","Where is the milk? "
"bathroom","the the same office, the office, the office, the office, the","Where is the football? "
"bedroom","1.2  1.2.1.2.1.2.1.","Where is the milk? "
"bathroom","the the same, the the same, the the same, the the same,","Where is the apple? "
"kitchen","the (office) the (office) the (office) the (office)","Where is the football? "
"bedroom","the men","Where is the apple? "
"garden","the the men who are the men, the men who are the men who are the men","Where is the apple? "
"bedroom","(the office is the only way to get the office, the office is the only","Where is the football? "
"bedroom","the the same, the the same, the the same, the the same,","Where is the apple? "
"garden","that’s","Where is the milk? "
"garden","an anow, an anow, an anow, an anow,","Where is the milk? "
"office","I’m the only way to make the apple the apple, the apple the apple,","Where is the apple? "
"bedroom","(the milk over the milk, the milk (the milk) the milk, the milk","Where is the milk? "
"garden","the milk over the milk, and the milk is the milk, and the milk is","Where is the milk? "
"bathroom","the milk office, the milk office, the milk office, the milk office, the milk office,","Where is the milk? "
"office","(the apples, and the apple, and the apple, and the apple","Where is the apple? "
"garden","|  the same, the same, the same, the same, the same, the same, the","Where is the football? "
"garden","the web-app, web-mobile, web-mobile, web-mobile, web-mobile, web-mobile, web","Where is the football? "
"bedroom","the web engine:  the web engine:  web engine:  web engine:  web engine:  web engine:","Where is the apple? "
"hallway","the the same, and the same office, and the same office, and the","Where is the apple? "
"hallway","the the same, the the same, the same.","Where is the apple? "
"hallway","the appartie’s appartie’s appartie’s appartie","Where is the apple? "
"garden","the webcraft:  the webcraft:  webcraft:  webcraft:  webcraft:  webcraft","Where is the football? "
"hallway","the the apple’s their office, the apple’s the apple’s the apple","Where is the apple? "
