"target","output","question"
"bathroom","She is in the kitchen.  Answer: She is in the kitchen.  Question: What is the name","Where is Mary? "
"kitchen","I can't find him.  Answer: He's in the church.  Question: What is the name","Where is John? "
"garden","She's in the kitchen, and she's making a pie.  Answer: She's in the","Where is Mary? "
"bedroom","He hasn't been seen for a while.  Answer: He's been missing for a while.  [","Where is John? "
"bathroom","I don't know. I don't know. I don't know. I don't know.","Where is Mary? "
"hallway","I can't find her. I can't find her anywhere. I can't find her anywhere","Where is Mary? "
"kitchen","She's not in the kitchen. She's not in the   living room. She's not","Where is Sandra? "
"bedroom","I can't find her.  Answer: She's in the kitchen, I think.  </context>","Where is Mary? "
"bedroom","I have not seen her.""      ""I have not seen her.""      ""I have not","Where is Mary? "
"office","I don't know. I don't know. I don't know. I don't know.","Where is Sandra? "
"garden","He was supposed to be here.  Answer: He is in the kitchen.  </context> </text","Where is Daniel? "
"kitchen","I can't find her. I think she's in the kitchen. I'll go look","Where is Sandra? "
"kitchen","--the painters--the studios are cleaner than the painters--the studios are cleaner than  Answer","Where is Sandra? "
"bathroom","I can't find her.  Answer: She's in the kitchen.  Question: What is the name","Where is Sandra? "
"office","She is in the kitchen.  Answer: She is in the kitchen.  </context> </text>","Where is Mary? "
"office","I can’t find her. I can’t find her anywhere. I can’t find her anywhere.","Where is Sandra? "
"office","What is he doing?  Answer: He is in the woods, fighting.  Question: What is the","Where is Daniel? "
"bedroom","She is not here. She is not here, and she is not here. She is not here","Where is Sandra? "
"kitchen","*       *       *  Answer: He is in the fire. *       *       *  </context","Where is Daniel? "
"hallway","I haven't seen him for a long time. I don't know where he is. I","Where is John? "
"bedroom","He is in the hospital. He is in the hospital. He is in the hospital. He","Where is Daniel? "
"garden","He is not here. He is not here. He is not here. He is not here.","Where is John? "
"office","_Kubeles_. _Ku_, Maya _God_, _Bel_ </question>  Answer","Where is Daniel? "
"bathroom","I have not seen her for a long time. I have not seen her for a long time","Where is Sandra? "
"bedroom","I was here soon subjected to a similar alarm, for I was here soon subjected to a similar alarm","Where is John? "
"office","--Thomas Paine. My reclamation is for a man who has honored his age by","Where is John? "
"office","I don't know. I don't know. I don't know. I don't know.","Where is Sandra? "
"hallway","|   Answer: In the garden. |   Question: What is the first thing he did?","Where is Daniel? "
"bathroom","He's not here.  Answer: I'm not sure if this is what you're looking for,","Where is John? "
"bedroom","He is in the wilderness, and the people are coming to him to be baptized. He is","Where is John? "
"office","I have not seen him for a long time.  Answer: He is in the kitchen.  Question:","Where is John? "
"kitchen","Answer: In the Castle </sentence> </paragraph> </text> </doc> </","Where is Daniel? "
"garden","I haven't seen her for a long time.  Answer: She is in the kitchen.  Question:","Where is Sandra? "
"garden","She is in the kitchen.  Answer: She is in the kitchen.  <text> I am in","Where is Sandra? "
