"target","output","question"
"bedroom","Choices: A. In the kitchen B. In the bedroom C. In the street","Where is Sandra? "
"bathroom","Answer: Mary journeyed to the garden.  Question: What is the meaning of the word 'dup","Where is Mary? "
"hallway","Answer: The most recent location of Sandra is kitchen. Okay, let's tackle this question.","Where is Sandra? "
"office","Choices: A. In the office B. In the bathroom C. In the kitchen","Where is Sandra? "
"kitchen","Choices: A. In the kitchen B. In the torture room C. In the","Where is Sandra? "
"office","Choices: A. In the kitchen B. In the bedroom C. In the garden","Where is Daniel? "
"office","Answer: The most recent location of John is office. Okay, let's tackle this question.","Where is John? "
"bedroom","Choices:  A. In the bedroom.  B. In the smoking-room.  C","Where is Daniel? "
"garden","Answer: The most recent location of Sandra is garden. Okay, let's see. The user","Where is Sandra? "
"hallway","Choices: A. In the kitchen B. In the hallway C. In the hut","Where is Mary? "
"bathroom","Choices: A. In the kitchen B. In the river bank C. In the","Where is John? "
"hallway","Choices: A. In the bedroom B. In the hallway C. In the bathroom","Where is John? "
