"target","output","question"
"bathroom","Answer: Mary is at the camp, as she is mentioned in the context of the Zouaves","Where is Mary? "
"kitchen","Answer: Mary is in the kitchen.   Question: What is the name of the person who","Where is Mary? "
"bedroom","Choices:  A. In the room with Ruby and Jack Kirke B. In the","Where is Sandra? "
"garden","Choices: A. In the garden B. In the study C. In the par","Where is Mary? "
"kitchen","The most recent location of Mary is kitchen. The most recent location of Mary is kitchen. The most","Where is Mary? "
"office","Choices: A. In the woods B. In the kitchen C. In the office","Where is Daniel? "
"bathroom","Choices: A. In the bathroom B. In the garden C. In the kitchen","Where is Mary? "
"bathroom","Choices: A. In the garden B. In the bathroom C. In the kitchen","Where is Sandra? "
"kitchen","The people of the interior are not only numerous, but also of a more savage and wild","Where is Sandra? "
"kitchen","Choices: A. In the kitchen B. In the library C. In the garden","Where is Sandra? "
"hallway","Choices: A. In the bedroom B. In the hallway C. In the kitchen","Where is Sandra? "
"bedroom","Choices:  A. In the kitchen.  B. In the bedroom.  C.","Where is John? "
"bedroom","Choices: A. In the garden B. In the hallway C. In the kitchen","Where is Mary? "
"bedroom","Choices: A. In the forest B. In the lake C. In the bedroom","Where is Daniel? "
"office","Choices: A. In the bathroom B. In the office C. In the train","Where is Sandra? "
"garden","Choices: A. In the field with the cows B. In the hallway C.","Where is Daniel? "
"office","Choices:  A. In the hospital in Serbia B. In the hospital in London","Where is Mary? "
"garden","Choices:  A. In the garden B. In the kitchen C. In the","Where is Sandra? "
"kitchen","Choices: A. In the kitchen B. In the studio C. In the garden","Where is Sandra? "
"garden","Choices: A. In the garden B. In the library C. In the library","Where is Sandra? "
"bedroom","Choices: A. In the bathroom B. In the bedroom C. In the kitchen","Where is Mary? "
"office","Choices: A. In the house B. In the office C. In the garden","Where is Mary? "
"office","Choices: A. In the garden B. In the office C. At the hospital","Where is Daniel? "
"bathroom","Choices: A. In the bathroom B. In the office C. In the kitchen","Where is Sandra? "
"office","Choices: A. In the office B. In the bedroom C. In the corn","Where is Daniel? "
"hallway","Choices: A. In the hallway B. In the school C. In the library","Where is Daniel? "
"office","Choices: A. In the circus B. In the office C. In the cage","Where is John? "
"kitchen","Choices: A. In the kitchen B. In the hotel C. In the fire","Where is Daniel? "
"hallway","Choices: A. In the hallway B. In the office C. In the prison","Where is Sandra? "
"bedroom","Choices: A. In the kitchen B. In the bedroom C. In the garden","Where is Mary? "
"bedroom","Choices: A. In the bedroom B. In the kitchen C. In the living","Where is Daniel? "
"bedroom","Choices: A. In the bathroom B. In the bedroom C. In the kitchen","Where is Daniel? "
"bathroom","Choices:  A. In the bathroom.  B. In the garden.  C.","Where is Sandra? "
"office","Choices: A. In the office B. In the library C. In the garden","Where is Daniel? "
"garden","Choices: A. In the museum at Pesth B. In the garden C.","Where is Sandra? "
"office","Choices: A. In the house B. In the office C. In the garden","Where is John? "
"bedroom","Answer: In the kitchen.  Okay, let's try to figure out where John is based on","Where is John? "
"bathroom","Choices: A. In the bathroom B. In the office C. In the village","Where is Sandra? "
"hallway","Choices: A. In the hallway B. In the garden C. In the kitchen","Where is Mary? "
"office","Choices: A. In the bathroom B. In the house C. In the woods","Where is Sandra? "
"hallway","Choices: A. In the hallway B. In the library C. In the garden","Where is John? "
"hallway","Choices: A. In the hallway B. In the grove C. In the","Where is Daniel? "
"bathroom","What is he doing?  Okay, let's try to figure out where John is and what he's","Where is John? "
"garden","Choices: A. In the field B. In the house C. In the garden","Where is John? "
"office","The old man, who had been a famous lawyer, was now a retired judge, and","Where is Mary? "
"office","Choices:  A. In the United States B. In Canada C. In France","Where is John? "
"hallway","Choices: A. In the kitchen B. In the hallway C. In the hallway","Where is John? "
"bedroom","Choices: A. In the kitchen B. In the bedroom C. In the garden","Where is Daniel? "
"garden","Choices: A. In the garden. B. In the street. C. In the house","Where is Sandra? "
"office","Choices: A. In the office B. In the barouche C. In","Where is John? "
