"target","output","question"
"bathroom","Answer: She's gone to the store. Question: What did she buy? Answer: A box","Where is Mary? "
"kitchen","Answer: She is gone to the mountains, and will return in the spring. Question:","Where is Sandra? "
"kitchen","Answer: She is in the kitchen. Question: What is she doing? Answer: She is","Where is Mary? "
"kitchen","Answer: In the Rocket frame, and, when the Rocket is fired, in the Rocket frame","Where is John? "
"bedroom","Answer: In the kitchen. Question: Where is Sandra? Answer: In the kitchen.","Where is Sandra? "
"office","Answer: He is gone to the country, and will return in the course of a few days","Where is John? "
"garden","Answer: She is in the garden, picking apples. Question: How many apples are left? Answer","Where is Mary? "
"bathroom","Answer: She is in the kitchen, cooking. Question: What is she cooking? Answer: Nothing","Where is Sandra? "
"kitchen","Answer: In the garden.--Ver. 'Quid est hoc?'--Ver. 'Quid","Where is Mary? "
"bedroom","Answer: In the trenches. Question: Where is John? Answer: In the trenches. Question:","Where is John? "
"office","Answer: In the Bible. Question: Where is Daniel? Answer: In the Bible. Question:","Where is Daniel? "
"office","Answer: In the kitchen. Question: Where is Daniel? Answer: In the kitchen. Question","Where is Daniel? "
"bathroom","Answer: She is in the bathroom. Question: What is she doing? Answer: She is","Where is Mary? "
"bathroom","Answer: She is in the room, and I am in the hall. Question: What is the","Where is Sandra? "
"bathroom","Answer: In the engine house. Question: Where is Sandra? Answer: In the engine house.","Where is Sandra? "
"hallway","Answer: She is in the garden, reading the newspaper. Question: Where is Mary","Where is Mary? "
"kitchen","Answer: She is in the library. Question: Where is the library? Answer: It is in","Where is Sandra? "
"office","Answer: In the same place as the rest of the world. Question: Where is Daniel?","Where is Daniel? "
"kitchen","Answer: In the vicinity of the ruins of the ancient city of Palenque, in","Where is Sandra? "
"bedroom","Answer: In bed. Question: What is the condition of the train? Answer: It is","Where is John? "
