"target","output","question"
"Jeff","Mary Susan Daniel John Julie Bill Julie Julie Julie Julie Julie Julie Julie Julie Julie Julie Julie Julie Julie Julie","Who did Fred give the football to? "
"Bill","John Fred John Fred John Fred John Fred John Fred John Fred John Fred John Fred John Fred John Fred","Who did Mary give the milk to? "
"Jeff","Jeff Mary Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff","Who did Fred give the milk to? "
"milk","Julie Fred Mary Fred Julie Fred Julie Fred Julie Fred Julie Fred Julie Fred Julie Fred Julie Fred Julie Fred","What did Mary give to Fred? "
"Fred","Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff","Who received the milk? "
"apple","John Jeff Mary Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff","What did Mary give to Jeff? "
"apple","Jeff Mary Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff","What did Mary give to Jeff? "
"apple","Mary Susan Sandra Fred Sandra Fred Sandra Sandra Sandra Sandra Sandra Sandra Sandra Sandra Sandra Sandra Sandra Sandra Sandra Sandra","What did Fred give to Bill? "
"Jeff","Susan Mary Jeffery Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff","Who gave the milk to Fred? "
"Fred","Susan Mary Jeffries  Answer: Fred Jeffries  Question: Fred Jeffries gave Mary Jeffries","Who gave the apple to Mary? "
"Jeff","Mary Susan Julie Fred Julie Fred Julie Fred Julie Fred Julie Fred Julie Fred Julie Fred Julie Fred Julie Fred","Who received the football? "
"Jeff","Fred  Question: Mary gave Fred the football.  Question: Fred gave Mary the football.  Question:","Who did Mary give the football to? "
"milk","Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff Jeff","What did Mary give to Bill? "
"Bill","Bill Bob Sandra Fred Julie Sandra Fred Julie Sandra Fred Julie Sandra Fred Julie Sandra Fred Julie Sandra Fred Julie","Who did Mary give the milk to? "
"milk","Fred Bill Mary Fred Bill Mary Fred Bill Mary Fred Bill Mary Fred Bill Mary Fred Bill Mary Fred Bill","What did Mary give to Bill? "
"apple","Mary Bob Fred Mary Bob Fred Mary Bob Fred Mary Bob Fred Mary Bob Fred Mary Bob Fred Mary Bob","What did Fred give to Mary? "
"Mary","Jeff Mary Jeff Mary Jeff Mary Jeff Mary Jeff Mary Jeff Mary Jeff Mary Jeff Mary Jeff Mary Jeff Mary","Who received the football? "
"apple","Mary Susan Bill Fred John Bob Sandra Julie Sandra Julie Sandra Julie Sandra Julie Sandra Julie Sandra Julie Sandra Julie","What did Fred give to Bill? "
"Jeff","Mary Susan Mary Bob John Fred Julie John Julie Julie Julie Julie Julie Julie Julie Julie Julie Julie Julie Julie","Who received the apple? "
