,target,output,question
0,kitchen,"..
..
...
.
..
...
.
.
.....",Where is the football? 
1,garden,"a..
............
.....",Where is the milk? 
2,bedroom,"..
.
.
.
..
.
.
.,., in.,.,..",Where is the apple? 
3,bedroom,"of the.
 of the.
.
.
.
.
.
.
..
..
.
...",Where is the apple? 
4,kitchen,"..
. the..
.
.
.
.
.
.
.
.
.
..
..
.",Where is the apple? 
5,hallway,".........., for. for. for. for..",Where is the apple? 
6,kitchen,",,.
..swing.
â,.
.
.
.
.
.
.
.
 trying.
.
.",Where is the milk? 
7,garden,".,.,.,., the, the,.,.,....",Where is the milk? 
8,bedroom,"..swing. the,..swing that that that that that that that that that that that that that",Where is the milk? 
9,bathroom,".
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",Where is the milk? 
10,bathroom,"...
...,.,.., that. that.,,..",Where is the football? 
11,bedroom,to...................,Where is the milk? 
12,bathroom,".......
.....
..
......",Where is the apple? 
13,kitchen,"and........
...........",Where is the football? 
14,bedroom,"..
....,........,,,..",Where is the apple? 
15,garden,". versa..swing. the. the..swing..
..
 the. the..
.",Where is the apple? 
16,bedroom,in. in. in... to to. in. to.... in.,Where is the football? 
17,bedroom,".
. I. I. The. The. The. The. The. The. The.",Where is the apple? 
18,garden,"..,.,,.......,.,.,.,",Where is the milk? 
19,garden,"..
..
.
.
..
..
 to to in. in.
..
..",Where is the milk? 
20,office,".
.
.
.
..
.
.
.
. The.
..
.
.
.
. The.",Where is the apple? 
21,bedroom,",.,,,.,.,..
.,,,.
,,.
,",Where is the milk? 
22,garden,"..
.
.
......... that. that....",Where is the milk? 
23,bathroom,"...,................",Where is the milk? 
24,office,". The. The. The. The. The..
 the...
 versa..
.",Where is the apple? 
25,garden,"the..swing the..swing the..swing.
The..swing the,.swing the..swing.",Where is the football? 
26,garden,"......
.....
..
 and..
..
..",Where is the football? 
27,bedroom,"..
..................",Where is the apple? 
28,hallway,....................,Where is the apple? 
29,hallway,". the..
.
. The. The. The. The. The. The.,.",Where is the apple? 
30,hallway,"..
....
..
..
..
..
..
..
.
.",Where is the apple? 
31,garden,....................,Where is the football? 
32,hallway,"and and the. The. The.,.,..
.
.
.
.
.
.
.",Where is the apple? 
33,kitchen,".
.
.
.
.
.
.
.
.
.
 in the in the in the in the in the",Where is the football? 
34,hallway,.. in...... with...... in. in.,Where is the milk? 
35,kitchen,"........
............",Where is the apple? 
36,office,"......., and. and and, and,.
,.,.",Where is the milk? 
37,hallway,"I’m.
The.
The.
The. He. He.
The.
He.
The.
He",Where is the milk? 
38,bathroom,".swing.
.swing.
.swing.
.swing able.
.swing.
.swing.
.swing influential.
.swing.
.swing.",Where is the milk? 
39,bathroom,".
.
.
.
.
.
.
 in.
.
.
..
.....
..",Where is the milk? 
40,bathroom,".,.swing.,. I. The. The. He.... I..",Where is the football? 
41,hallway,".,.,.............,.,",Where is the football? 
42,garden,".
.,..
.
.,.,.,.,.,.,.
.",Where is the apple? 
43,bedroom,".
.
.
.
.
.
.
.
.
....
.
...",Where is the apple? 
44,kitchen,".
.
.
.swinged,.swinged.
.
.
 versa.
.swing.
 the.
.
.
.",Where is the milk? 
45,bedroom,".
..
..
..
..
. versa.
..
..
...
.",Where is the milk? 
46,hallway,",..
,.
.
,,,,,,.. versa,,,,.",Where is the apple? 
47,garden,".
.
 of, of.
.
.
.
.
.
.
.
,.,.
.
.
.",Where is the milk? 
48,kitchen,....................,Where is the football? 
49,bathroom,"and.
.
.

.
.
.
.
.
.
.
.

.

.
 to the.",Where is the football? 
50,garden,"..
. The,.,,,.,..
,.swing,,,,.",Where is the milk? 
51,bedroom,". the..
.. and.......
. the..
..",Where is the apple? 
52,hallway,".
.
.
.
.
 and. in the.
.
.
.
.
..
..
.
.",Where is the milk? 
53,hallway,".
“.
The.
“.
“.
The.
“.
“.
“.
“.
“",Where is the milk? 
54,office,"and.

.

.

.

.
 and.

.

.

.
 and.",Where is the milk? 
55,kitchen,....................,Where is the apple? 
56,bathroom,"...
.....
..
..
..
..
..
..",Where is the milk? 
57,bathroom,".
.
.
.
.
.
..swing",Where is the milk? 
58,office,".
..
..
..
..
..
..
....
..
.",Where is the football? 
59,garden,"...
.
 trying. the...swing. versa..swing,:// Ã...",Where is the football? 
60,kitchen,". the.
..
. the.
. the the.
...swing.
..swing..swing",Where is the apple? 
61,bathroom,"I
. The
..
 and. The. The.

 and
 and he and.",Where is the apple? 
62,garden,"..
..
...
........ the....",Where is the football? 
63,bathroom,"..
.
.
.
......
.swing.......
.swing",Where is the milk? 
64,bathroom,........ The...........,Where is the milk? 
65,hallway,"to..
..
.
.
..
.
.
.
.
.
.
.
.
.
.
.",Where is the milk? 
66,bedroom,".....,..., the.
,..
.
..
..",Where is the football? 
67,garden,".....
.,. the. the..,..
 the...",Where is the football? 
68,bedroom,"..
..
.
 the..swing...
.swing...swing..swing..swing.",Where is the football? 
69,bathroom,"in the......
 in the in...
......",Where is the apple? 
70,garden,".
.
.
.
.
.://://.swing.
..swing.
.
.
..swing.
..swing",Where is the milk? 
71,office,".
.
..
..
.
.
.
.
.
.
..
..
..
.
.",Where is the milk? 
72,office,... versa. the.. the. the..... the...,Where is the football? 
73,hallway,".....,..............",Where is the football? 
74,garden,"..
.
.
.
.
.
.
...
....
.
.
.
.
.",Where is the football? 
75,office,",.,.,., and and and..........",Where is the milk? 
76,kitchen,". The...
. versa. versa..
.
.
.
.
..swing..
.",Where is the football? 
77,office,"..
............... he..",Where is the milk? 
78,kitchen,"the b..
the the the the the the the and the the the the the.
the and",Where is the apple? 
79,kitchen,".,.... that..
.
.
.
........",Where is the football? 
80,office,"..,..
...swing..
 to..
. to. to...",Where is the football? 
81,kitchen,.......... to..... to to to.,Where is the apple? 
82,office,",.
.
.
.
.
.
.
.
.
.
.
,.
.
.
.
.
.
.",Where is the apple? 
83,bathroom,".
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",Where is the football? 
84,bathroom,"the.
.
.
.
.
.
..swing..swing. versa...
.
.
.
.",Where is the football? 
85,office,".
..swing..swing.
.
.
..
.
.
. The. The..
..",Where is the milk? 
86,bathroom,"in. The. The. The. The. The. The
. The. The. The",Where is the apple? 
87,bedroom,".... He.. He..........
.
.",Where is the milk? 
88,hallway,"and.




..

. The
.
.

.


.",Where is the apple? 
89,bedroom,".... in the..........,.,.",Where is the milk? 
90,bedroom,".... The..
 versa..
 the.,...,..,",Where is the apple? 
91,bathroom,". trying.
.swing,...
.
.
.
 the.
 the.
 versa.
 the.
 the",Where is the football? 
92,bedroom,"......
...... the.......",Where is the football? 
93,bedroom,". The.
.
.
.
.
..
.
.
.
.
.
.
..
.,.",Where is the football? 
94,bedroom,....................,Where is the apple? 
95,kitchen,". trying. the....
.swing. the..swing..
.....",Where is the football? 
96,garden,",,...,....,,. the, the, the, the",Where is the milk? 
97,office,".
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
..
.
.",Where is the milk? 
98,bedroom,".,.....
......
.
.
.
.
..
.",Where is the milk? 
99,kitchen,..... to............ to.,Where is the apple? 
