"target","output","question"
"bathroom","Answer: She is in the bathroom. Question: Where is John? Answer: He is in","Where is Mary? "
"kitchen","Answer: She is in the kitchen. Question: What is Sandra doing? Answer: She is baking","Where is Sandra? "
"kitchen","Answer: In the kitchen. Question: What is Mary doing? Answer: Cooking. Question: What","Where is Mary? "
"kitchen","Answer: In the kitchen. Question: What is the Government doing? Answer: Nothing. Question","Where is John? "
"bedroom","Answer: She is in the kitchen. Question: Where is Ginger Dick? Answer: He is in","Where is Sandra? "
"office","Answer: He is in the office. Question: Where is Eleanor? Answer: She is in the","Where is John? "
"garden","Answer: In the kitchen. Question: Where is Mary? Answer: In the kitchen. Question:","Where is Mary? "
"bathroom","Answer: In the bathroom. DAIRY SUPPLIES, Etc. [Illustration of","Where is Sandra? "
"kitchen","Answer: In the kitchen. Question: Where is Mary? Answer: In the kitchen. Question","Where is Mary? "
"bedroom","Answer: He is in the kitchen. Question: What is the matter with Althea? Answer","Where is John? "
"office","JEANNE  He is in the office. EMIL GRELIEU  _Smiling","Where is Daniel? "
"office","Answer: He is in the bathroom. _He rises and walks back and forth, forgetting","Where is Daniel? "
"bathroom","Answer: In the bathroom. Question: What is Mary doing? Answer: She is washing her","Where is Mary? "
"bathroom","Answer: In the bathroom. Question: What is she doing? Answer: Reading. Question:","Where is Sandra? "
"bathroom","Answer: She's gone to the office. Question: Where is John? Answer: He's gone","Where is Sandra? "
"hallway","Answer: She is in the hallway. Question: What is Mary doing? Answer: She is","Where is Mary? "
"kitchen","Answer: In the kitchen. Question: What is Sandra doing? Answer: Making tea.","Where is Sandra? "
"office","Answer: In the kitchen. Question: Where is Daniel? Answer: In the kitchen. Question","Where is Daniel? "
"kitchen","Answer: In the kitchen. Question: What is Sandra doing? Answer: Making coffee. Question","Where is Sandra? "
"bedroom","Answer: In the bedroom. Question: Where is Mary? Answer: In the bathroom. Question:","Where is John? "
