"target","output","question"
"kitchen","Answer: In the kitchen, eating a piece of cake. Question: What is John eating?","Where is John? "
"bathroom","Answer: She is in bed, and has a headache. Question: What is the matter with Sandra","Where is Sandra? "
"office","Answer: In the hallway. Question: Where is Mary? Answer: In the hallway. Question","Where is Daniel? "
"hallway","Answer: She is in the garden. Question: What is she doing? Answer: She is","Where is Mary? "
"bedroom","Answer: In the bathroom. Question: Where is Georgiana? Answer: In the drawing","Where is John? "
"bedroom","Answer: She is in the garden, playing with the kittens. Question: Where is the Tom","Where is Mary? "
"office","Answer: She is in the office. Question: What is the latest news? Answer: Nothing","Where is Sandra? "
"bathroom","Answer: She is in the library, reading. Question: What is she reading? Answer: The","Where is Mary? "
"kitchen","Answer: She is in the kitchen, making breakfast. Question: What is Sandra making?","Where is Sandra? "
"bathroom","Answer: She is in the garden. Question: Where is John? Answer: He is in the","Where is Sandra? "
"bedroom","Answer: She is in the garden, picking flowers. Question: Where is John? Answer: He","Where is Mary? "
"bedroom","Answer: She is in the bathroom. Question: Where is John? Answer: He is in","Where is Sandra? "
"bedroom","ANSWER.--She is in the bathroom. Daniel travelled to the bathroom. Some parties, we","Where is Sandra? "
"hallway","Answer: Mary is in the hallway. Question: Where is Mary? Answer: Mary is in the","Where is Mary? "
"bedroom","Answer: She is in the office. Question: Where is Sandra? Answer: She is in","Where is Sandra? "
"garden","Answer: In the garden, playing cards with Chantel. Question: What is Chant","Where is John? "
"bedroom","Answer: She is in the kitchen, and, if you wish, you can see her.","Where is Mary? "
"kitchen","Answer: In the kitchen. Question: Where is Mary? Answer: In the bedroom. Question:","Where is Daniel? "
"office","Answer: In the office. Question: What is he doing? Answer: Writing. Question:","Where is John? "
"bathroom","Answer: He is in the bathroom. Question: Where is the bathroom? Answer: It is","Where is John? "
"bathroom","Answer: In the Lions Den. Question: Where is Daniel? Answer: In the Lions Den","Where is Daniel? "
"bedroom","Answer: In the bedroom. Question: Why is John in the bedroom? Answer: Because he","Where is John? "
"bedroom","Answer: In the bathroom, reading the newspaper. Question: What is he reading?","Where is Daniel? "
"hallway","Answer: She is in the hallway. Question: What is she doing? Answer: She is","Where is Sandra? "
"garden","Answer: She is in the library, reading. Question: What is she reading? Answer: The","Where is Sandra? "
