"target","output","question"
"kitchen","Answer: She is in the kitchen. Question: What is Mary doing? Answer: She is cooking","Where is Mary? "
"garden","I have not seen her for a long time.  Answer: She is in the garden.  Question:","Where is Mary? "
"office","He is in the Conciergerie, in the Tower of the Conciergerie,","Where is Daniel? "
"bathroom","Is she in the bar?  <text>     “I don't know. I haven't seen","Where is Sandra? "
"kitchen","I heard she was coming to the party.  Answer: She is in the kitchen, I think.","Where is Sandra? "
"bedroom","Where is he? Answer: He is in the kitchen.  He is in the kitchen.","Where is John? "
"bedroom","I can't find him.  He's not in the     house.  He's","Where is Daniel? "
"garden","php     $sql = ""SELECT * FROM `users` WHERE `username` = '$username","Where is Daniel? "
"garden","What is she doing?  Answer: Sandra is in the kitchen. She is cooking.  Question: What","Where is Sandra? "
"garden","--I am not sure that I can answer that question, Harry. I have been here for","Where is Sandra? "
"office","----> Answer: She is in the kitchen.  <example> I said, 'Where is Mary","Where is Mary? "
"bathroom","--A. in the dark room.--B. in the bright room.--C. in the","Where is Sandra? "
"hallway","--I have not seen him for a long time.  Answer: He is in the country, and","Where is Daniel? "
"kitchen","What is he doing? Answer: He is in the ark, and he is making a list of","Where is Daniel? "
"bedroom","She is the mother of Jesus Christ.  She is the      mother of the world.","Where is Mary? "
"bedroom","He's not here, is he?""  ""Whin ye'll see him, dear, ye'll","Where is Daniel? "
"office","He is not in the house.  Answer: He is in the garden.  <text>   <","Where is Daniel? "
"office","""I am for leaving at once,"" said Old Ropes; ""the only safety for us","Where is John? "
"bathroom","://    17:  [http://www.]    18:  [http","Where is Sandra? "
"office","I can't find her anywhere.  Answer: She is in the kitchen.  Question: What is the","Where is Sandra? "
"hallway","Where is the book of Daniel?  Where is the book of Daniel in the Bible?","Where is Daniel? "
"garden","I have not seen him for a long time. I have heard that he is ill. Is","Where is John? "
"office","He who has paid the rent for the last two months.  Answer: He is in the country,","Where is John? "
"bedroom","_ (New York: Harper & Row, 1979), 1-2.   [","Where is Daniel? "
"office","He is in the garden.  Answer: He is in the garden.  <question>   Where is","Where is John? "
