"target","output","question"
"kitchen","Answer: The football is in the kitchen. Okay, let's see. I need to figure","Where is the football? "
"garden","Choices:   A) In the kitchen   B) In the garden   C) In the","Where is the milk? "
"bedroom","Choices:   A. In the kitchen   B. In the bedroom   C. In the","Where is the apple? "
"bedroom","Answer: The apple is in the bedroom. Okay, let's try to figure out where the","Where is the apple? "
"kitchen","Answer: The apple is in the kitchen. </context>  Okay, let's try to figure","Where is the apple? "
"hallway","Answer: The apple is in the hallway. </context>  Okay, let's try to figure","Where is the apple? "
"kitchen","Answer: The milk is in the kitchen. <context> Florine, the tall and beautiful","Where is the milk? "
"garden","Answer: The milk is in the kitchen. </context>  Okay, let's see. The","Where is the milk? "
"bedroom","Answer: The milk is in the kitchen. Okay, let's try to figure out where the","Where is the milk? "
"bathroom","Choices:   A. In the kitchen   B. In the hallway   C. In the","Where is the milk? "
"bathroom","Answer: The football is in the bathroom. </context>  Okay, let's try to figure","Where is the football? "
"bedroom","Answer: The milk is in the kitchen. Okay, let's see. The user provided a","Where is the milk? "
"bathroom","Choices: A. In the kitchen B. In the bathroom C. In the bedroom","Where is the apple? "
"kitchen","Answer: The football is in the kitchen. </context>  Okay, let's try to figure","Where is the football? "
"bedroom","Answer: The apple is in the kitchen. </context>  Okay, let's see. The","Where is the apple? "
"garden","Answer: The apple is in the kitchen. Okay, let's see. I need to figure","Where is the apple? "
"bedroom","Answer: The football is in the kitchen. Okay, let's try to figure out where the","Where is the football? "
"bedroom","Options:   A. In the kitchen   B. In the bedroom   C. In the","Where is the apple? "
"garden","Answer: The milk is in the kitchen. </context>  Okay, let's see. The","Where is the milk? "
"garden","Answer: The milk is in the kitchen. </context>  Okay, let's try to figure","Where is the milk? "
"office","Answer: The apple is in the kitchen. </context>  Okay, let's try to figure","Where is the apple? "
"bedroom","Choices:   A. In the kitchen   B. In the bathroom   C. In the","Where is the milk? "
"garden","Answer: The milk is in the kitchen. </context>  Okay, let's see. I","Where is the milk? "
"bathroom","Answer: The milk is in the kitchen. <context> <example> <example> <example","Where is the milk? "
"office","Answer: The apple is in the kitchen. </context>  Okay, let's try to figure","Where is the apple? "
"garden","Answer: The football is in the kitchen. </context> Okay, let's try to figure","Where is the football? "
"garden","Answer: The football is in the kitchen. <context> Mary picked up the football there. </","Where is the football? "
"bedroom","Options:   A. In the kitchen   B. In the hallway   C. In the","Where is the apple? "
"hallway","Answer: The apple is in the kitchen. </context>  Okay, let's tackle this question","Where is the apple? "
"hallway","Answer: The apple is in the kitchen.   Okay, let's see. The user provided a","Where is the apple? "
"hallway","Choices: A. In the kitchen B. In the bathroom C. In the bedroom","Where is the apple? "
"garden","Answer: The football is in the kitchen. <context> The football was in the kitchen. John","Where is the football? "
"hallway","Choices:   A. In the kitchen   B. In the bathroom   C. In the","Where is the apple? "
"kitchen","Answer: The football is in the kitchen. </context>  Okay, let's try to figure","Where is the football? "
"hallway","Answer: The milk is in the bedroom. </context>  Okay, let's try to figure","Where is the milk? "
"kitchen","Answer: The apple is in the kitchen. </context>  Okay, let's see. The","Where is the apple? "
"office","Answer: The milk is in the kitchen. </context>  Okay, let's try to figure","Where is the milk? "
"hallway","Answer: The milk is in the hallway. Okay, let's see. I need to figure","Where is the milk? "
"bathroom","Answer: The milk is in the kitchen. <context> [190] A meadow","Where is the milk? "
"bathroom","Answer: The milk is in the bedroom. Answer: The milk is in the bedroom. Answer","Where is the milk? "
"bathroom","Answer: The football is in the garden. </context>  Okay, let's try to figure","Where is the football? "
"hallway","Choices:   A. In the kitchen   B. In the garden   C. In the","Where is the football? "
"garden","Answer: The apple is in the garden. </context>  Okay, let's try to figure","Where is the apple? "
"bedroom","Choices: A. In the kitchen B. In the bathroom C. In the office","Where is the apple? "
"kitchen","Answer: The milk is in the kitchen. Okay, let's try to figure out where the","Where is the milk? "
"bedroom","Answer: The milk is in the kitchen. Okay, let's see. The user is asking","Where is the milk? "
"hallway","Answer: The apple is in the kitchen. </context>  Okay, let's see. The","Where is the apple? "
"garden","Answer: The milk is in the garden. </context>  Okay, let's see. The","Where is the milk? "
"kitchen","Answer: The football is in the kitchen. </context>  Okay, let's try to figure","Where is the football? "
"bathroom","Answer: The football is in the kitchen. </context>  Okay, let's try to figure","Where is the football? "
"garden","Answer: The milk is in the jug. </context>  Okay, let's see. The","Where is the milk? "
"bedroom","Answer: The apple is in the bathroom. </context>  Okay, let's try to figure","Where is the apple? "
"hallway","Answer: The milk is in the kitchen. </context>  Okay, let's see. The","Where is the milk? "
"hallway","Answer: The milk is in the kitchen. Okay, let's see. The user is asking","Where is the milk? "
"office","Options:   A. In the kitchen   B. In the garden   C. In the","Where is the milk? "
"kitchen","Answer: The apple is in the kitchen.   </context>  Okay, let's see.","Where is the apple? "
"bathroom","Options:   A. In the kitchen   B. In the bedroom   C. In the","Where is the milk? "
"bathroom","Answer: The milk is in the kitchen. Okay, let's see. I need to figure","Where is the milk? "
"office","Answer: The football is in the hallway. </context>  Okay, let's try to figure","Where is the football? "
"garden","Answer: The football is in the garden. Okay, let's see. I need to figure","Where is the football? "
"kitchen","Options:   A. In the kitchen   B. In the kitchen   C. In the","Where is the apple? "
"bathroom","Choices: A. In the cottage B. In the bathroom C. In the kitchen","Where is the apple? "
"garden","Answer: The football is in the kitchen. Okay, let's try to figure out where the","Where is the football? "
"bathroom","Answer: The milk is in the kitchen. </context>  Okay, let's see. The","Where is the milk? "
"bathroom","Answer: The milk is in the kitchen. </context>  Okay, let's see. The","Where is the milk? "
"hallway","Answer: The milk is in the kitchen. </context>  Okay, let's see. I","Where is the milk? "
"bedroom","Answer: The football is in the hallway. Answer: The football is in the hallway.  Okay","Where is the football? "
"garden","Answer: The football is in the kitchen. Okay, let's see. I need to figure","Where is the football? "
"bedroom","Answer: The football is in the garden. </context>  Okay, let's try to figure","Where is the football? "
"bathroom","Choices:   A. In the kitchen   B. In the bathroom   C. In the","Where is the apple? "
"garden","Answer: The milk is in the kitchen. </context>  Okay, let's try to figure","Where is the milk? "
"office","Answer: The milk is in the kitchen. <context> <example> <example> <example","Where is the milk? "
"office","Options:   A. in the kitchen   B. in the hallway   C. in the","Where is the football? "
"hallway","Answer: The football is in the kitchen. </context>  Okay, let's try to figure","Where is the football? "
"garden","Answer: The football is in the bedroom. </context>  Okay, let's try to figure","Where is the football? "
"office","Answer: The milk is in the kitchen. </context>  Okay, let's see. The","Where is the milk? "
"kitchen","Answer: The football is in the garden. </context>  Okay, let's try to figure","Where is the football? "
"office","Answer: The milk is in the kitchen. <context> After some six weeks fatting amongst","Where is the milk? "
"kitchen","The answer should be in the form of ""The apple is in the [location]."" and only the","Where is the apple? "
"kitchen","Answer: The football is in the kitchen. </context>  Okay, let's see. The","Where is the football? "
"office","Answer: The football is in the garden. </context>  Okay, let's try to figure","Where is the football? "
"kitchen","Answer: The apple is in the kitchen. Okay, let's try to figure out where the","Where is the apple? "
"office","Answer: The apple is in the kitchen. Okay, let's try to figure out where the","Where is the apple? "
"bathroom","Answer: The football is in the kitchen. </context>  Okay, let's try to figure","Where is the football? "
"bathroom","Answer: The football is in the bedroom. </context> Okay, let's try to figure","Where is the football? "
"office","Choices:   A. In the kitchen   B. In the bathroom   C. In the","Where is the milk? "
"bathroom","Answer: The apple is in the kitchen. The answer is in the kitchen. The apple is in","Where is the apple? "
"bedroom","Answer: The milk is in the kitchen. <context> Find Hannah, and we find one who","Where is the milk? "
"hallway","Answer: The apple is in the bathroom. </context>  Okay, let's try to figure","Where is the apple? "
"bedroom","Answer: The milk is in the kitchen. </context>  Okay, let's see. The","Where is the milk? "
"bedroom","Answer: The apple is in the kitchen. </context> Okay, let's try to figure","Where is the apple? "
"bathroom","Options:   A. In the kitchen   B. In the bathroom   C. In the","Where is the football? "
"bedroom","Answer: The football is in the kitchen. </context>  Okay, let's try to figure","Where is the football? "
"bedroom","Answer: The football is in the bedroom. </context>  Okay, let's try to figure","Where is the football? "
"bedroom","The apple is in the kitchen. Okay, let's see. I need to figure out where the","Where is the apple? "
"kitchen","Answer: The football is in the kitchen.  Okay, let's try to figure out where the","Where is the football? "
"garden","Answer: The milk is in the kitchen. <context> Mary got the milk there. </context","Where is the milk? "
"office","Answer: The milk is in the hallway. </context>  Okay, let's try to figure","Where is the milk? "
"bedroom","Answer: The milk is in the kitchen. <context> <example> <example> <example","Where is the milk? "
"kitchen","Answer: The apple is in the kitchen. </context>  Okay, let's try to figure","Where is the apple? "
