"target","output","question"
"kitchen","*       * In the kitchen. *  Question: Where did Mary Paine, Paine's mother","Where is Mary? "
"garden","The man who was struck by a coincidence is in the middle of the orchard, saw four","Where is Mary? "
"office","Where is Daniel? Where is Daniel? Where is Daniel? Where is Daniel? Where is Daniel?","Where is Daniel? "
"bathroom","--and why?--and at all times and at all times and at all times and at","Where is Sandra? "
"kitchen","Where did she go? Where did she go? Where did she go? Where did she go?","Where is Sandra? "
"bedroom","Where does he go? What does he do? What does he say? What do you think","Where is John? "
"bedroom","He may count as his own some of their success in the profession in which he has achieved so","Where is Daniel? "
"garden","Where did he? The town of Tegdelt, is another city of the province of","Where is Daniel? "
"garden","She was seen yesterday, but she was seen yesterday, but she was seen yesterday, but she was","Where is Sandra? "
"garden","Where do you want to go to-day, to-morrow, and so on, to-morrow","Where is Sandra? "
"office","Where did Mary live? Where did Mary live? Where did Mary live? Where did Mary live?","Where is Mary? "
"bathroom","Where did she go? Where did she go? Where did she go? Where did she go?","Where is Sandra? "
"hallway","He's not seen. He was seen. He was seen. He was seen. He was seen","Where is Daniel? "
"kitchen","Did he die? Did he die? Did he die? Did he die? Did he die?","Where is Daniel? "
"bedroom","Where does she live? Where did she live? Where did she live? Where did she live?","Where is Mary? "
"bedroom","Is he not want."" And the nurses: ""He maketh me to lie down in green","Where is Daniel? "
"office","Where did Daniel reside? Where did Daniel reside? Where did Daniel reside? Where did Daniel reside?","Where is Daniel? "
"office","""I tell you, Patience, you'll have to do.""  Patience, who was","Where is John? "
"bathroom","When did she die? When did she die? When did she die? When did she die?","Where is Sandra? "
"office","She was seen yesterday morning, and she was seen yesterday morning, and she was seen yesterday morning,","Where is Sandra? "
"hallway","Where did Daniel go? What did Daniel do? What did Daniel write? What did Daniel write?","Where is Daniel? "
"garden","Where did he go? What did he do? What did he say? What did he write?","Where is John? "
"office","Where is John? Where is John? Where is John? Where is John? Where is John?","Where is John? "
"bedroom","--he's gone--he's gone--he's gone--he's gone--he's gone","Where is Daniel? "
"office","Where does he live? What time of the day is it? What time of the day is it","Where is John? "
