"target","output","question"
"Jeff","Answer:  Assistant: Jeff  Okay, let's try to figure out who Fred gave the football","Who did Fred give the football to? "
"Fred","Answer: Answer: Fred Okay, let's try to figure out who received the milk based","Who received the milk? "
"Jeff","Answer: Fred  Okay, let's try to figure out who gave the milk to Fred based","Who gave the milk to Fred? "
"milk","What was the reason for her doing so?  Okay, let's try to figure out what Mary gave","What did Mary give to Bill? "
"Mary","The answer is Mary. <context> Jeff handed the football to Mary. Pack my bundle! </context","Who received the football? "
"Fred","Answer:  Assistant: The provided context does not mention anyone giving milk to Jeff. The text mentions","Who gave the milk to Jeff? "
"milk","Choices: A. A gold chain B. A breastpin C. A ring","What did Jeff give to Bill? "
"Fred","Answer:  Assistant: Mary  Okay, let's try to figure out who received the apple based","Who received the apple? "
"Fred","Answer: Mary  Okay, let's try to figure out who gave the apple to Mary.","Who gave the apple to Mary? "
"Jeff","The answer is Jeff. Okay, let's see. The user provided a context and a question.","Who gave the milk? "
"milk","(Answer with the exact text from the context.)  Okay, let me try to figure out the","What did Fred give to Mary? "
"Fred","The answer should be in the context. Okay, let's try to figure out who gave the apple","Who gave the apple to Bill? "
"Mary","Answer: Answer: Mary Okay, let's try to figure out who received the football based","Who received the football? "
"apple","Choices: A. An apple B. A pear C. A peach D.","What did Fred give to Bill? "
"Bill","Answer: Bill Okay, let's see. The user is asking who gave the football to","Who gave the football to Fred? "
"Fred","Answer: Answer: Julia Okay, let's try to figure out who gave the football to","Who gave the football to Jeff? "
"milk","What was the name of the dog?  Okay, let me try to figure out the answer to","What did Mary give to Fred? "
"Bill","Okay, let's see. The user is asking who Fred gave the apple to. Let me","Who did Fred give the apple to? "
"Fred","Answer: Answer: Fred Okay, let's try to figure out who gave the milk based","Who gave the milk? "
"Bill","Answer: Bill gave the apple to Mary. Okay, let's try to figure out who gave","Who gave the apple? "
"Mary","Answer:  Assistant: Mary  Okay, let's try to figure out who Jeff gave the apple","Who did Jeff give the apple to? "
"Mary","Answer: Mary The answer is Mary.  <question> Who gave the milk? </question>","Who gave the milk? "
"milk","Choices: A. A letter B. A piece of paper C. A piece of","What did Fred give to Bill? "
"Bill","(Answer with the name of the person, not the animal.)  Okay, let's try to","Who gave the football to Jeff? "
"Mary","Answer: Answer:  Mary Okay, let's try to figure out who gave the milk to","Who gave the milk to Jeff? "
