"target","output","question"
"kitchen","Answer: The most recent location of John is garden. The text mentions ""John journeyed to the","Where is John? "
"office","Answer: In the kitchen.  Question: What is the main theme of the passage? Answer: The","Where is Daniel? "
"office","Answer: The text does not explicitly state where Daniel is, but it mentions that he journeyed to","Where is Daniel? "
"bedroom","Answer: The most recent location of Mary is bedroom. Okay, let's see. I need","Where is Mary? "
"bathroom","Answer: The most recent location of Mary is bathroom. Okay, let's tackle this question.","Where is Mary? "
"garden","Answer: The most recent location of Sandra is garden. Okay, let's tackle this question.","Where is Sandra? "
"office","Answer:  A. In the kitchen.  B. In the garden.  C.","Where is Sandra? "
"office","Choices:   A. In the office   B. In the drawing-room   C. In","Where is John? "
"bedroom","Answer: The most recent location of Sandra is bedroom. Okay, let's tackle this question.","Where is Sandra? "
"office","Choices: A. In the room with the detective B. In the room with the pictures","Where is Daniel? "
"office","Answer: The most recent location of Daniel is office. Okay, let's tackle this question.","Where is Daniel? "
"hallway","Answer: The most recent location of John is hallway. Okay, let's tackle this question.","Where is John? "
"bedroom","Answer: The most recent location of John is bedroom. Okay, let's tackle this question.","Where is John? "
"bedroom","Choices: A. In the bedroom B. In the pine grove C. In","Where is Daniel? "
