"target","output","question"
"garden","Answer: The milk is in the bedroom. Okay, let's try to figure out where the","Where is the milk? "
"kitchen","The answer is in the text. </question> </context>  Okay, let's try to figure","Where is the apple? "
"garden","Answer: The milk is in the kitchen. <context> The milk is in the kitchen. </","Where is the milk? "
"bathroom","Answer: The football is in the hallway. Okay, let's see. I need to figure","Where is the football? "
"kitchen","Answer: The football is in the kitchen. </context>  Okay, let's try to figure","Where is the football? "
"bedroom","Answer: The football is in the kitchen. </context>  Okay, let's try to figure","Where is the football? "
"garden","Answer: The milk is in the pan.  Okay, so I need to figure out where the","Where is the milk? "
"garden","Answer: The milk is in the kitchen. <context> Mary went back to the garden.","Where is the milk? "
"garden","Answer: The football is in the garden. <context> <example> <example> <example","Where is the football? "
"hallway","Answer: The apple is in the kitchen. </context>  Okay, let's see. The","Where is the apple? "
"garden","Answer: The football is in the kitchen. </context>  Okay, let's try to figure","Where is the football? "
"hallway","Answer: The milk is in the kitchen. </context>  Okay, let's see. The","Where is the milk? "
"hallway","Answer: The milk is in the bedroom. </context>  Okay, let's try to figure","Where is the milk? "
"bathroom","Answer: The football is in the kitchen. </context>  Okay, let's see. The","Where is the football? "
"bedroom","Options:   A. In the kitchen   B. In the bathroom   C. In the","Where is the apple? "
"hallway","???gestion?   Answer: The apple is in the kitchen. Answer: The apple","Where is the apple? "
"bathroom","Answer: The football is in the bedroom. Okay, let's see. The user is asking","Where is the football? "
"hallway","Answer: The milk is in the bedroom. Answer: The milk is in the bathroom. Answer","Where is the milk? "
"kitchen","Choices: A. In the kitchen B. In the hallway C. In the pantry","Where is the apple? "
"office","Answer: The football is in the kitchen. </context>  Okay, let's try to figure","Where is the football? "
"bathroom","The answer should be in the form of ""The 'item' is in the 'location'.""","Where is the apple? "
"bathroom","Answer: The milk is in the kitchen. </context>  Okay, let's try to figure","Where is the milk? "
"garden","Answer: The football is in the kitchen. Okay, let's try to figure out where the","Where is the football? "
"garden","Answer: The milk is in the garden. Answer: The milk is in the garden. Answer","Where is the milk? "
"hallway","Okay, so I need to figure out where the football is in the given text. Let me","Where is the football? "
"kitchen","Answer: The football is in the garden. <context> Mary picked up the football there. </","Where is the football? "
"kitchen","Answer: The football is in the boat. </context>  Okay, let's try to figure","Where is the football? "
"office","Answer: The apple is in the kitchen.   Answer: The apple is in the kitchen.","Where is the apple? "
"office","Answer: The milk is in the kitchen. <context> In the context provided, the narrative describes","Where is the milk? "
"hallway","Answer: The apple is in the hallway. Okay, let's see. I need to figure","Where is the apple? "
"bathroom","Answer: The football is in the kitchen. </context>  Okay, let's try to figure","Where is the football? "
"bedroom","Answer: The apple is in the kitchen. </context>  Okay, let's try to figure","Where is the apple? "
"office","Answer: The milk is in the office. </context>  Okay, let's see. I","Where is the milk? "
