"target","output","question"
"kitchen","Choices: A. In the kitchen B. In the drawing room C. In the","Where is Sandra? "
"office","Choices: A. In a library B. In a hospital C. In a school","Where is John? "
"bedroom","Choices: A. In the field B. In the newspaper office C. In the","Where is John? "
"bathroom","Choices: A. In the church B. In the market C. In the castle","Where is Sandra? "
"office","Answer: In the context provided, Daniel is not mentioned. The text is a passage from an architectural","Where is Daniel? "
"bedroom","(Answer with the name of the place.) Answer: San Francisco  Okay, so I need","Where is Mary? "
"garden","Choices: A. In the fort B. John's house C. In the jungle","Where is Mary? "
"garden","(Answer with the name of the place) Answer: Rome  Question: What is the name","Where is Sandra? "
"kitchen","(Answer: In the middle of the body, in the middle of the neck, in the","Where is Sandra? "
"garden","Choices: A. In the mill B. In the woods C. In the mountains","Where is John? "
"kitchen","Answer: She is at the spring, which is a place where water comes out of the mountain.","Where is Sandra? "
"office","Choices: A. In the kitchen B. In the Deanery C. In the","Where is Sandra? "
"bedroom","Okay, so I need to figure out where Sandra is based on the provided text. Let me","Where is Sandra? "
"garden","Choices: A. In the garden B. In the kitchen C. In the hallway","Where is John? "
"hallway","Choices: A. On a ship B. In a house C. In a field","Where is John? "
"kitchen","Okay, so I need to figure out where Sandra is based on the provided text. Let me","Where is Sandra? "
"garden","Choices: A. In the kitchen B. In the garden C. In the lake","Where is Sandra? "
"bathroom","Choices: A. In the forest B. In the meadow C. In the","Where is Sandra? "
"office","Choices: A. In the hospital B. In the country C. In the city","Where is Daniel? "
"office","Choices: A. In the middle of the forest B. In the castle C.","Where is John? "
"hallway","Choices: A. In the kitchen B. In the garden C. In the forest","Where is Daniel? "
"bathroom","(Answer with ""Not enough information"" if it's not possible to answer) Okay, let","Where is Daniel? "
"garden","Choices: A. In the school B. In the house C. In the town","Where is Sandra? "
"kitchen","Choices: A. In the library B. In the school C. In the park","Where is Daniel? "
"bedroom","Choices: A. In the field B. In the castle C. In the forest","Where is John? "
