"target","output","question"
"Jeff","A. Dan B. Mike C. Fanny D. Mike's brother D. Mike's brother","Who did Fred give the football to? "
"Fred","Answer: Fred  Question: Who gave the apple to Bill? Answer: Fred  Question: Who","Who received the milk? "
"Jeff","Answer: Bill  Question: Who gave the apple to Fred? Answer: Mary  Question: What","Who gave the milk to Fred? "
"milk","A. The milk B. The milk and the butter C. The milk and the butter and the","What did Mary give to Bill? "
"Mary","Answer: Mary  Question: Who passed the football? Answer: Jeff  Question: Who handed the","Who received the football? "
"Fred","What was the name of the milkman? What was the name of the milkman's wife?","Who gave the milk to Jeff? "
"milk","A. a milk bottle B. a milk bottle C. a milk bottle D. a milk bottle","What did Jeff give to Bill? "
"Fred","Answer: Mary went to the bedroom. Mary went to the bedroom. Mary went to the bedroom.","Who received the apple? "
"Fred","Bill went to the office. I have been very busy with my summer school at the Seminary","Who gave the apple to Mary? "
"Jeff","Answer: Mary. Question: Who travelled to the garden? Answer: Mary. Question: Who passed","Who gave the milk? "
"milk","Answer: Fred gave Mary a present of a new skirt. Question: What was the name of the","What did Fred give to Mary? "
"Fred","Fred or Mary?  Answer: Fred gave the apple to Bill.  Question: Who gave the apple to","Who gave the apple to Bill? "
"Mary","Answer: Fred </example> <example> Mary picked up the apple there. Mary gave the","Who received the football? "
"apple","Answer: Fred gave Bill a book.  Question: What did Bill give to Fred? Answer: Bill","What did Fred give to Bill? "
"Bill","Answer: Tom gave the football to Fred. Question: Who gave the football to Fred? Answer:","Who gave the football to Fred? "
"Fred","What was the name of the man who owned the dog, horse and boat? What was the name","Who gave the football to Jeff? "
"milk","Answer: apple  Your answer should contain only one word. Do not write anything else after that.","What did Mary give to Fred? "
"Bill","Bill  Question: What was the name of the woman who came into Mary's cell? Mary","Who did Fred give the apple to? "
"Fred","Answer: Bill   <example> Mary picked up the apple there. Mary gave the apple to Fred","Who gave the milk? "
"Bill","Answer: Fred  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who gave the apple? "
"Mary","Answer: Jeff gave the apple to Eleanor. Question: Who was the prince in Eleanor's dream?","Who did Jeff give the apple to? "
"Mary","Answer: Bill  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who gave the milk? "
"milk","Mary picked up the milk there. ""I can't tell you, Arne, I can't","What did Fred give to Bill? "
"Bill","Answer: Jeff  Question: Who gave the apple to Fred? Answer: Fred  Question: Who","Who gave the football to Jeff? "
"Mary","Mary went to the office. Mary went to the kitchen. Mary handed the milk to Bill. Mary","Who gave the milk to Jeff? "
