"target","output","question"
"kitchen","Choices: A. In the bathroom B. In the kitchen C. In the garden","Where is Sandra? "
"bedroom","Answer: The most recent location of Sandra is bedroom. Okay, let's tackle this question.","Where is Sandra? "
"bathroom","Choices: A. In the bathroom B. In the office C. In the church","Where is Sandra? "
"office","Choices: A. In the woods B. In the kitchen C. In the bathroom","Where is Daniel? "
"bathroom","Answer: The most recent location of Sandra is bathroom. Okay, let's tackle this question.","Where is Sandra? "
"kitchen","The answer is the bathroom. </context>  Where is Sandra? The most recent location of Sandra is","Where is Sandra? "
"bedroom","Answer: John is in the bathroom.  Question: What is the main topic of the text? Answer","Where is John? "
"bedroom","Choices:  Daniel went to the kitchen.  Sandra went back to the hallway.  John","Where is John? "
"garden","Answer: The most recent location of Mary is garden. Okay, let's tackle this question.","Where is Mary? "
"office","Choices: A. In the bathroom B. In the office C. In the bedroom","Where is Sandra? "
"bathroom","Choices: A. In the bathroom B. In the kitchen C. In the garden","Where is Mary? "
"garden","Choices: A. In the kitchen B. In the garden C. In the bathroom","Where is Sandra? "
"garden","The most recent location of John is 24 Upper Woburn Place, Tavistock","Where is John? "
"bedroom","Answer: The most recent location of Mary is bedroom. </context> Okay, let's tackle","Where is Mary? "
"bedroom","Choices: A. In the kitchen B. In the bathroom C. In the hallway","Where is Mary? "
"bathroom","Choices: A. In the garden B. In the house C. In the prison","Where is Sandra? "
"bedroom","Answer: The most recent location of Sandra is bedroom. </context>  Okay, let's tackle","Where is Sandra? "
"office","Answer: The most recent location of John is office. The most recent location of John is office","Where is John? "
"hallway","Choices: A. In the hallway B. In the kitchen C. In the bedroom","Where is Mary? "
"bedroom","Choices: A. In the kitchen B. In the bathroom C. In the hallway","Where is Mary? "
"kitchen","Choices: A. In the garden B. In the kitchen C. In the bedroom","Where is Sandra? "
"bathroom","Choices:  A. In the bathroom.  B. In the garden.  C.","Where is Sandra? "
"bedroom","Answer: Mary is in the kitchen.  Question: What is the meaning of the phrase ""In station","Where is Mary? "
"office","Choices: A. In the clover-field B. In the apiary C.","Where is John? "
"office","Choices: A. In the bathroom B. In the tent C. In the office","Where is Daniel? "
"hallway","Choices: A. In the kitchen B. In the hallway C. In the bedroom","Where is Mary? "
"bathroom","</context>  Question: Where is John? Answer: The most recent location of John is bathroom","Where is John? "
"hallway","Choices: A. In the garden B. In the hallway C. In the woods","Where is Daniel? "
"bathroom","Choices: A. In the garden B. In the bathroom C. In the hallway","Where is Daniel? "
"office","I think they are singing to me. I think they are saying, ""Come, come","Where is Mary? "
"bedroom","The most recent location of Daniel is bathroom. Okay, let's tackle this question. So, the","Where is Daniel? "
"bedroom","Choices: A. In the office B. In the bedroom C. In the kitchen","Where is Daniel? "
"bedroom","Answer: John is in the kitchen.  Question: What is the name of the town that is half","Where is John? "
