"target","output","question"
"Bill","Answer: The baby. Question: Who did Mary give the milk to? Answer: The baby.","Who did Mary give the milk to? "
"milk","Answer: Nothing. Question: What did Fred give to Mary? Answer: Nothing. Question: What","What did Mary give to Fred? "
"apple","Answer: A pair of stockings. Question: What did Jeff give to Mary? Answer: A pair","What did Mary give to Jeff? "
"apple","Answer: A pair of boots. Question: What did Bill give to Fred? Answer: A pair","What did Fred give to Bill? "
"Fred","Answer: The apple was given to Mary by the Lord Chancellor. Question: Who gave the apple","Who gave the apple to Mary? "
"Jeff","Answer: Mary gave the football to the vicar. Question: Who did Mary give the football","Who did Mary give the football to? "
"Bill","Answer: Mary gave the milk to the cat. Question: Who did Mary give the milk to","Who did Mary give the milk to? "
"apple","Answer: A pair of slippers, _ibid._;       a pair of slippers,","What did Fred give to Mary? "
"apple","Answer: Nothing. Question: What did Bill give to Fred? Answer: Nothing. Question:","What did Fred give to Bill? "
"Bill","Answer: Mary gave the football to the football team. Question: Who did Mary give the football to","Who did Mary give the football to? "
"Mary","Answer: The cow. Question: Who received the cream? Answer: The cat. Question:","Who received the milk? "
"milk","Answer: A pair of gloves. Question: What did Mary give to Bill? Answer: A pair","What did Bill give to Mary? "
"football","Answer: A pair of pants. Question: What did Fred give to Jeff? Answer: A pair","What did Jeff give to Fred? "
"Mary","Answer: The apple was given to Bill by the cook. Question: Who gave the apple to","Who gave the apple to Bill? "
"Mary","Answer: The cow. Question: Who gave the milk to Bill? Answer: The cow","Who gave the milk to Bill? "
"Mary","Answer: Jeff took the milk there. 12mo, cloth, price $1.00.","Who gave the milk? "
"football","Answer: A rose. Question: What did Mary give to Bill? Answer: A rose. Question","What did Bill give to Mary? "
"apple","Answer: $1.50. Question: What did Bill give to Fred? Answer: $1","What did Fred give to Bill? "
"Bill","Answer: Mary. Question: Who did Mary give the apple to? Answer: Mary. Question","Who did Mary give the apple to? "
"milk","Answer: Milk. Question: What did Fred give to Mary? Answer: Nothing. Question: What","What did Mary give to Fred? "
"Mary","Answer: The football was given by the football committee. Question: Who gave the football? Answer","Who gave the football? "
"Mary","Answer: The apple gave itself.  Question: Who gave the apple? Answer: The apple gave itself","Who gave the apple? "
"apple","Answer: A pair of pants. Question: What did Bill give to Fred? Answer: A pair","What did Fred give to Bill? "
"Fred","Answer: The cow. Question: Who received the cream? Answer: The cat. Question:","Who received the milk? "
"apple","Answer: A kiss. THE END","What did Bill give to Mary? "
