"target","output","question"
"garden","Answer: Where is the milk? Answer: Where is the milk? Answer: Where is the milk","Where is the milk? "
"hallway","Answer: In the heart of Africa. Question: Where is the apple? Answer: In the heart","Where is the apple? "
"bathroom","Answer: In the cow. Question: Where is the cow? Answer: In the field. Question","Where is the milk? "
"kitchen","Answer: Where is the football? Question: Where is the football? Answer: Where is the football","Where is the football? "
"bedroom","Answer: It is in the bedroom. Question: Who wrote the letter? Answer: It is in","Where is the apple? "
"bedroom","Answer: In the refrigerator. Question: Where is the butter? Answer: In the refrigerator. Question","Where is the milk? "
"garden","Answer: It's in the park. Question: Who is the lawyer? Answer: He's","Where is the football? "
"hallway","Answer: In the barrel. Question: Where is the barrel? Answer: Under the tree. Question","Where is the apple? "
"kitchen","Answer: Under cover, under cover, and stay under cover, or I'll send ye below,","Where is the football? "
"hallway","Answer: In the refrigerator. Question: Where is the butter? Answer: In the refrigerator. Question","Where is the milk? "
"hallway","Answer: Where is the football? Question: Where is the football? Answer: Where is the football","Where is the football? "
"bedroom","Answer: In the refrigerator. Question: Where is the refrigerator? Answer: In the bedroom.","Where is the milk? "
"bathroom","Answer: Where is the football? Question: Where is the football? Answer: Where is the football","Where is the football? "
"hallway","Answer: It is in the cave. Question: How deep is the cave? Answer: It","Where is the milk? "
"bathroom","Answer: It is in the refrigerator. Question: Where is the refrigerator? Answer: It is in","Where is the milk? "
"bathroom","Answer: In the tree. Question: Where is the tree? Answer: In the orchard.","Where is the apple? "
"hallway","Answer: In the cow. Question: Where is the sugar? Answer: In the sugar cane.","Where is the milk? "
"bathroom","Answer: In the orchard. Question: Where is the apple? Answer: In the orchard","Where is the apple? "
"hallway","Answer: At the foot of the hill. Question: Where is the football? Answer: At the","Where is the football? "
"office","Answer: Where is the milk? Question: Where is the milk? Answer: Where is the milk","Where is the milk? "
"kitchen","Answer: In the garden. Question: Where is the garden? Answer: In the world.","Where is the apple? "
"office","Answer: Where is the milk? Question: Where is the milk? Answer: Where is the milk","Where is the milk? "
"bedroom","Answer: In the milk-house. Question: Where is the butter? Answer: In the butter-house","Where is the milk? "
"bedroom","Answer: Where is the football? [608] The football is the ball of the world.","Where is the football? "
"office","Answer: In the Constitution. Question: Where is the milk? Answer: In the Constitution. Question","Where is the milk? "
