"target","output","question"
"Jeff","Answer: Jeff  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who did Fred give the football to? "
"Bill","Answer: Bill  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who did Mary give the milk to? "
"Jeff","Answer: Jeff  Question: Who did Mary give the apple to? Answer: Fred  Question:","Who did Fred give the milk to? "
"milk","Answer: milk  <example> Mary picked up the apple there. Mary gave the apple to Fred","What did Mary give to Fred? "
"Fred","Answer: Mary  Question: Who received the football? Answer: Fred  Question: What did Fred","Who received the milk? "
"apple","Answer: apple  <example> Mary picked up the apple there. Mary gave the apple to Fred","What did Mary give to Jeff? "
"apple","Answer: apple  <example> Mary picked up the apple there. Mary gave the apple to Fred","What did Mary give to Jeff? "
"apple","Answer: apple  <example> Mary picked up the apple there. Mary gave the apple to Fred","What did Fred give to Bill? "
"Jeff","Answer: Jeff  Question: Who took the football there? Answer: Bill  Question: Who gave","Who gave the milk to Fred? "
"Fred","Answer: Fred  <context> Mary went back to the kitchen. Mary took the apple there. Mary","Who gave the apple to Mary? "
"Jeff","Answer: Jeff  <example> Mary went back to the kitchen. Mary took the apple there.","Who received the football? "
"Jeff","Answer: Jeff  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who did Mary give the football to? "
"milk","Answer: milk  <context> Jeff moved to the office. Jeff moved to the hallway. Jeff moved","What did Mary give to Bill? "
"Bill","Answer: Bill  <example> Mary moved to the hallway. Mary went to the kitchen. Mary","Who did Mary give the milk to? "
"milk","Answer: milk  <example> Jeff went back to the hallway. Jeff went back to the office","What did Mary give to Bill? "
"apple","Answer: apple  <example> Mary picked up the apple there. Mary gave the apple to Fred","What did Fred give to Mary? "
"Mary","Answer: Mary  <context> Jeff took the milk there. Jeff passed the football to Fred. Jeff","Who received the football? "
"apple","Answer: apple  <example> Bill moved to the garden. Jeff took the football there. Mary","What did Fred give to Bill? "
"Jeff","Answer: Jeff  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who received the apple? "
"Bill","Answer: Bill  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who did Mary give the football to? "
"Fred","Answer: Fred  <example> Jeff took the milk there. Jeff put down the milk. Fred","Who gave the milk to Jeff? "
"Mary","Answer: Mary  <context> Jeff took the milk there. Jeff put down the milk. Fred took","Who received the milk? "
"Mary","Answer: Mary  <context> Jeff took the milk there. Jeff put down the milk. Fred took","Who gave the milk? "
"milk","Answer: milk  Question: What did Jeff give to Mary? Answer: milk  Question: What","What did Bill give to Mary? "
"milk","Answer: milk  <example> Mary went to the bedroom. Mary went back to the office.","What did Jeff give to Bill? "
"football","Answer: football  <example> Mary picked up the apple there. Mary gave the apple to Fred","What did Jeff give to Fred? "
"Mary","Answer: Jeff  <example> Jeff went back to the garden. Mary journeyed to the garden","Who gave the football? "
"Mary","Answer: Mary  <example> Jeff went back to the garden. Mary journeyed to the garden","Who gave the apple to Bill? "
"Fred","Answer: Fred  Question: Who gave the apple? Answer: Mary  Question: What did Fred","Who received the apple? "
"Mary","Answer: Mary  <example> Jeff went back to the hallway. Bill picked up the milk there","Who gave the milk to Bill? "
"milk","Answer: milk  <example> Mary journeyed to the hallway. Mary travelled to the bathroom.","What did Mary give to Jeff? "
"Mary","Answer: Mary  <example> Mary journeyed to the hallway. Mary travelled to the bathroom.","Who gave the milk? "
"Fred","Fred","Who gave the apple to Mary? "
"football","Answer: apple  <example> Mary journeyed to the kitchen. Mary went to the bedroom.","What did Bill give to Mary? "
"apple","Answer: apple  <example> Mary picked up the apple there. Mary gave the apple to Fred","What did Fred give to Mary? "
"apple","Answer: apple  <example> Mary went to the kitchen. Mary got the milk there. Mary","What did Fred give to Bill? "
"Jeff","Answer: Mary  <context> Bill went to the kitchen. Fred moved to the bedroom. Jeff went","Who gave the milk? "
"Bill","Answer: Bill  <example> Mary moved to the bathroom. Jeff journeyed to the kitchen.","Who did Mary give the apple to? "
"Fred","Answer: Fred  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who gave the football to Mary? "
"milk","Answer: milk  <context> Mary got the milk there. Mary gave the milk to Bill. Jeff","What did Mary give to Fred? "
"milk","Answer: milk  <context> Mary got the milk there. Mary gave the milk to Bill. Jeff","What did Fred give to Mary? "
"Mary","Answer: Mary  <context> Mary moved to the kitchen. Bill grabbed the football there. Jeff journey","Who gave the football? "
"Fred","Answer: Fred  <context> Jeff went to the kitchen. Jeff picked up the apple there. Jeff","Who received the apple? "
"Mary","Answer: Mary  <context> Mary picked up the apple there. Mary gave the apple to Fred.","Who gave the apple? "
"Fred","Answer: Mary  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who gave the apple to Bill? "
"apple","a book","What did Fred give to Bill? "
"Fred","Fred","Who received the apple? "
"Fred","Answer: Jeff  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who received the milk? "
"Mary","Answer: Jeff  <example> Jeff went back to the hallway. Fred journeyed to the bathroom","Who received the football? "
"apple","Answer: football  <example> Jeff went back to the garden. Mary travelled to the office.","What did Bill give to Mary? "
"apple","Answer: apple  <example> Jeff took the football there. Jeff passed the football to Fred.","What did Mary give to Fred? "
"apple","Answer: apple  <example> Jeff took the football there. Jeff passed the football to Fred.","What did Fred give to Bill? "
"apple","Answer: apple  <example> Mary went to the hallway. Fred picked up the football there.","What did Fred give to Bill? "
"milk","Answer: milk  <example> Mary picked up the apple there. Mary gave the apple to Fred","What did Jeff give to Fred? "
"Mary","Answer: Jeff  Question: Who received the apple? Answer: Fred  Question: Who received the","Who received the milk? "
"Jeff","Answer: Jeff  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who gave the football? "
"Bill","Answer: Bill  <example> Mary went back to the garden. Jeff went back to the office","Who gave the football to Fred? "
"Mary","Answer: Mary  <example> Mary went back to the garden. Fred went to the hallway.","Who received the football? "
"Mary","Answer: Mary  <example> Mary went to the office. Fred went to the office. Jeff","Who gave the football to Fred? "
"Jeff","Answer: Jeff  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who did Bill give the milk to? "
"Fred","Answer: Fred  <context> Jeff got the football there. Jeff passed the football to Fred. Fred","Who gave the football to Jeff? "
"Jeff","Answer: Jeff  Question: Who did Mary give the apple to? Answer: Fred  Question:","Who gave the apple to Fred? "
"Bill","Answer: Jeff  <example> Mary went to the office. Mary went to the hallway. Mary","Who received the milk? "
"Jeff","Answer: Fred  Question: Who did Mary give the football to? Answer: Fred  Question:","Who did Bill give the apple to? "
"milk","Answer: milk  <context> Mary went back to the bathroom. Mary journeyed to the bedroom.","What did Mary give to Fred? "
"Jeff","Answer: Jeff  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who received the apple? "
"Jeff","Answer: Jeff  <example> Mary went to the office. Jeff went back to the garden.","Who gave the apple to Bill? "
"apple","Answer: apple  <context> Mary took the apple there. Bill went to the garden. Bill went","What did Mary give to Fred? "
"Bill","Answer: Bill  <example> Mary took the apple there. Bill went to the garden. Bill","Who did Fred give the apple to? "
"Jeff","Answer: Bill  <example> Jeff took the football there. Jeff passed the football to Fred.","Who gave the apple? "
"Bill","Answer: Bill  <context> Jeff went back to the office. Fred went back to the hallway.","Who gave the milk to Fred? "
"Bill","Answer: Bill  <example> Mary went to the hallway. Jeff went to the hallway. Jeff","Who did Jeff give the football to? "
"Fred","Answer: Jeff  <example> Mary went to the office. Mary went to the hallway. Mary","Who gave the milk? "
"apple","Answer: apple  <example> Mary picked up the apple there. Mary gave the apple to Fred","What did Mary give to Bill? "
"Jeff","Answer: Jeff  <context> Mary went to the bedroom. Bill took the milk there. Mary picked","Who received the milk? "
"Bill","Answer: Bill  <example> Jeff went to the office. Mary took the apple there. Bill","Who did Fred give the milk to? "
"Bill","Answer: Mary  Question: Who gave the football? Answer: Fred  Question: What did Fred","Who gave the apple? "
"Jeff","Answer: Bill  <example> Mary went to the office. Bill went to the hallway. Fred","Who gave the apple? "
"Fred","Answer: Fred  <example> Mary went to the office. Mary went to the office. Mary","Who received the football? "
"football","Answer: football  Question: Who did Mary give the football to? Answer: Fred  Question:","What did Mary give to Fred? "
"Mary","Answer: Mary  <context> Jeff went to the garden. Jeff picked up the apple there. Jeff","Who did Jeff give the apple to? "
"football","Answer: football  <example> Mary went to the garden. Jeff went back to the garden.","What did Jeff give to Mary? "
"Mary","Answer: Mary  <context> Jeff took the milk there. Jeff passed the milk to Mary. Jeff","Who received the milk? "
"milk","Answer: milk  <example> Mary went to the kitchen. Mary went back to the hallway.","What did Mary give to Fred? "
"Mary","Answer: Mary  <example> Mary went to the kitchen. Jeff went back to the hallway.","Who gave the milk? "
"Bill","Answer: Bill  <context> Mary went to the office. Mary went to the garden. Mary went","Who gave the milk to Mary? "
"Mary","Answer: Mary  <context> Jeff went to the garden. Mary went to the garden. Mary went","Who received the football? "
"Fred","Answer: Mary  <context> Mary picked up the milk there. Mary put down the milk. Mary","Who gave the apple? "
"milk","Answer: milk  <example> Mary went to the office. Jeff took the apple there. Fred","What did Fred give to Bill? "
"Fred","Answer: Fred  <example> Mary moved to the office. Jeff took the apple there. Fred","Who did Bill give the milk to? "
"Jeff","Answer: Mary  Question: Who took the football? Answer: Fred  Question: Who dropped the","Who gave the apple? "
"Fred","Answer: Fred  <example> Mary went to the office. Mary picked up the apple there.","Who did Bill give the apple to? "
"Bill","Answer: Bill  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who gave the football to Jeff? "
"Bill","Answer: Bill  <example> Mary went to the kitchen. Jeff went to the kitchen. Bill","Who did Jeff give the apple to? "
"milk","Answer: milk  <context> Fred went to the hallway. Bill travelled to the bedroom. Mary picked","What did Mary give to Bill? "
"Mary","Answer: Mary  <context> Fred went to the hallway. Bill went to the kitchen. Mary picked","Who did Bill give the milk to? "
"Mary","Answer: Mary  <example> Mary went to the office. Mary went to the kitchen. Fred","Who gave the milk to Jeff? "
"Fred","Answer: Mary  <example> Mary went to the office. Mary went to the office. Mary","Who gave the milk? "
"Bill","Answer: Jeff  <example> Mary went to the hallway. Mary went to the office. Mary","Who received the milk? "
"football","Answer: football  Question: What did Fred give to Bill? Answer: football  Question: What","What did Mary give to Bill? "
