"target","output","question"
"bathroom","""I'm a laid down in the wurrld, and I'm a l","Where is Mary? "
"kitchen","What is her name? What is her father’s name? What is her mother’s name? What","Where is Sandra? "
"kitchen","The author of this treatise, who is a zealous orchardist, is lau","Where is Mary? "
"kitchen","The man who is the subject of the passage? Answer: John is the subject of the passage.","Where is John? "
"bedroom","The girl who was with her? The girl who was with her? The girl who was with","Where is Sandra? "
"office","""I'm not sure, but I think he's gone to the city to see a man","Where is John? "
"garden","[Illustration: The little girl who was      lost.]      Answer: She is in","Where is Mary? "
"bathroom","What is the difference between a man and a woman? What is the difference between a man and","Where is Sandra? "
"kitchen","Where is the man who is to be the father of her child? Where is the man who","Where is Mary? "
"bedroom","The answer is in the context. The next question is, ""Where is John?"" The","Where is John? "
"office","The answer is the same as the answer to the question ""Where is the sun?"" The","Where is Daniel? "
"office","The answer is that he is in the kitchen room, and that he is a man of great","Where is Daniel? "
"bathroom","-- Ver. The poet seems to have in mind the epigraphic inscription, 'Here lies","Where is Mary? "
"bathroom","Where is the man who is the father of my son? Where is the man who is the father","Where is Sandra? "
"bathroom","The girl who was in the cave?  Answer: Sandra was in the cave.  Question: What is","Where is Sandra? "
"hallway","""The man who is to be my husband, and who is to be my mother's hus","Where is Mary? "
"kitchen","The man who is the father of the first-born offspring Question: Where is Sandra?","Where is Sandra? "
"office","[26] Answer: In the city of Naples. [27] Question: What is the name","Where is Daniel? "
"kitchen","The Union line was established on the west bank of the river, and the Federal line was established","Where is Sandra? "
"bedroom","""I'm a man--I'm a man--I'm a man!"" Cameron cried, and","Where is John? "
"hallway","""The Rosenfelds' house, of course. I'm just going to see her.""","Where is Sandra? "
"bedroom","The answer is, ""in the middle of the last line."" The answer is not, ""","Where is Mary? "
"bedroom","The answer is that he is in the kitchen. The Eumenes, in the same way","Where is John? "
"bedroom","""The ladies are coming along, and we'll have a little party, and I'll","Where is Mary? "
"bedroom","The latter is a very important question, and one that should be answered with the greatest","Where is Mary? "
"garden","The fishery is not so good this year, and the fish is not so good, and","Where is Mary? "
"bedroom","What is his occupation? What is his occupation? What is his occupation? What is his occupation?","Where is Daniel? "
"office","What is her occupation? What is her occupation? What is her occupation? What is her occupation?","Where is Sandra? "
"office","What is her occupation? What is her occupation? What is her occupation? What is her occupation?","Where is Sandra? "
"garden","What is her condition? What is her condition? Answer: The poor girl was now in a state","Where is Sandra? "
